"Date","Price","Open","High","Low","Change %"
"01/31/2014","1.6590","1.6990","1.7020","1.6450","2.47%"
"01/30/2014","1.6190","1.6300","1.6440","1.6030","-1.52%"
"01/29/2014","1.6440","1.6890","1.6990","1.6370","-1.97%"
"01/28/2014","1.6770","1.6780","1.6960","1.6700","0.36%"
"01/27/2014","1.6710","1.6620","1.6830","1.6570","0.97%"
"01/24/2014","1.6550","1.6830","1.6950","1.6380","-3.44%"
"01/23/2014","1.7140","1.7500","1.7650","1.7040","-2.34%"
"01/22/2014","1.7550","1.7500","1.7680","1.7380","0.69%"
"01/21/2014","1.7430","1.7500","1.7730","1.7390","0.17%"
"01/20/2014","1.7400","1.7520","1.7600","1.7290","-0.85%"
"01/17/2014","1.7550","1.7780","1.7800","1.7510","-1.24%"
"01/16/2014","1.7770","1.8250","1.8270","1.7740","-2.74%"
"01/15/2014","1.8270","1.8280","1.8430","1.8070","0.61%"
"01/14/2014","1.8160","1.8060","1.8220","1.8020","-0.06%"
"01/13/2014","1.8170","1.8410","1.8540","1.8150","-1.57%"
"01/10/2014","1.8460","1.9030","1.9040","1.8390","-3.35%"
"01/09/2014","1.9100","1.9070","1.9300","1.8830","0.26%"
"01/08/2014","1.9050","1.8930","1.9100","1.8730","0.85%"
"01/07/2014","1.8890","1.9070","1.9120","1.8810","-1.00%"
"01/06/2014","1.9080","1.9270","1.9280","1.9050","-1.85%"
"01/03/2014","1.9440","1.9410","1.9580","1.9290","-0.10%"
"01/02/2014","1.9460","1.9630","1.9710","1.9330","0.26%"
"12/31/2013","1.9410","1.9410","1.9410","1.9410","0.00%"
"12/30/2013","1.9410","1.9610","1.9640","1.9370","-0.51%"
"12/27/2013","1.9510","1.9020","1.9540","1.9020","3.67%"
"12/25/2013","1.8820","1.8820","1.8820","1.8820","0.00%"
"12/24/2013","1.8820","1.8820","1.8820","1.8820","0.00%"
"12/23/2013","1.8820","1.8770","1.8940","1.8690","0.86%"
"12/20/2013","1.8660","1.8790","1.9060","1.8620","-0.53%"
"12/19/2013","1.8760","1.8540","1.8900","1.8400","1.90%"
"12/18/2013","1.8410","1.8300","1.8480","1.8170","0.71%"
"12/17/2013","1.8280","1.8380","1.8460","1.8200","-0.33%"
"12/16/2013","1.8340","1.8170","1.8420","1.8120","0.33%"
"12/13/2013","1.8280","1.8370","1.8520","1.8270","-0.76%"
"12/12/2013","1.8420","1.8400","1.8550","1.8160","0.93%"
"12/11/2013","1.8250","1.8370","1.8450","1.8220","-0.60%"
"12/10/2013","1.8360","1.8450","1.8450","1.8150","-0.33%"
"12/09/2013","1.8420","1.8470","1.8550","1.8290","0.27%"
"12/06/2013","1.8370","1.8750","1.8910","1.8350","-1.29%"
"12/05/2013","1.8610","1.8130","1.8690","1.8000","2.31%"
"12/04/2013","1.8190","1.7400","1.8200","1.7350","5.45%"
"12/03/2013","1.7250","1.7380","1.7600","1.7150","-0.81%"
"12/02/2013","1.7390","1.7020","1.7530","1.6970","2.90%"
"11/29/2013","1.6900","1.6910","1.7140","1.6830","-0.59%"
