"Date","Price","Open","High","Low","Change %"
"31/01/2014","3.675","3.691","3.716","3.642","-1.10%"
"30/01/2014","3.716","3.715","3.749","3.701","0.03%"
"29/01/2014","3.715","3.680","3.739","3.673","0.49%"
"28/01/2014","3.697","3.726","3.734","3.688","-1.75%"
"27/01/2014","3.763","3.794","3.824","3.739","-1.00%"
"25/01/2014","3.801","3.816","3.816","3.793","0.50%"
"24/01/2014","3.782","3.774","3.829","3.759","0.67%"
"23/01/2014","3.757","3.741","3.759","3.713","0.83%"
"22/01/2014","3.726","3.730","3.731","3.674","-0.08%"
"21/01/2014","3.729","3.694","3.741","3.683","1.14%"
"20/01/2014","3.687","3.691","3.702","3.645","-0.67%"
"18/01/2014","3.712","3.720","3.736","3.712","0.19%"
"17/01/2014","3.705","3.721","3.722","3.673","-0.83%"
"16/01/2014","3.736","3.754","3.767","3.734","-0.80%"
"15/01/2014","3.766","3.820","3.820","3.763","-1.52%"
"14/01/2014","3.824","3.836","3.842","3.814","-0.23%"
"13/01/2014","3.833","3.820","3.847","3.791","0.45%"
"11/01/2014","3.816","3.825","3.825","3.806","0.08%"
"10/01/2014","3.813","3.803","3.824","3.788","1.06%"
"09/01/2014","3.773","3.808","3.813","3.674","-0.63%"
"08/01/2014","3.797","3.822","3.822","3.741","-0.50%"
"07/01/2014","3.816","3.903","3.904","3.792","-2.28%"
"06/01/2014","3.905","3.883","3.906","3.882","-0.05%"
"04/01/2014","3.907","3.905","3.907","3.888","0.23%"
"03/01/2014","3.898","3.951","3.952","3.891","-2.11%"
"02/01/2014","3.982","4.143","4.148","3.977","-3.91%"
"01/01/2014","4.144","4.164","4.164","4.144","-0.02%"
"31/12/2013","4.145","4.145","4.145","4.145","0.24%"
"30/12/2013","4.135","4.242","4.245","4.134","-2.41%"
"28/12/2013","4.237","4.249","4.251","4.207","0.05%"
"27/12/2013","4.235","4.275","4.275","4.216","-0.02%"
"25/12/2013","4.236","4.236","4.236","4.236","0.00%"
"24/12/2013","4.236","4.236","4.236","4.236","0.50%"
"23/12/2013","4.215","4.162","4.246","4.160","1.44%"
"21/12/2013","4.155","4.153","4.155","4.137","0.39%"
"20/12/2013","4.139","4.131","4.171","4.122","0.39%"
"19/12/2013","4.123","4.161","4.166","4.103","-0.75%"
"18/12/2013","4.154","4.098","4.165","4.092","1.22%"
"17/12/2013","4.104","4.075","4.110","4.073","0.71%"
"16/12/2013","4.075","4.101","4.112","4.071","-0.80%"
"14/12/2013","4.108","4.107","4.122","4.106","0.10%"
"13/12/2013","4.104","4.108","4.116","4.092","0.07%"
"12/12/2013","4.101","4.083","4.118","4.080","1.51%"
"11/12/2013","4.040","4.037","4.052","3.999","0.10%"
"10/12/2013","4.036","4.099","4.101","4.032","-2.16%"
"09/12/2013","4.125","4.148","4.181","4.123","-1.15%"
"07/12/2013","4.173","4.184","4.184","4.157","-0.29%"
"06/12/2013","4.185","4.241","4.273","4.176","-1.76%"
"05/12/2013","4.260","4.185","4.279","4.165","1.65%"
"04/12/2013","4.191","4.156","4.191","4.139","1.40%"
"03/12/2013","4.133","4.182","4.183","4.115","-0.65%"
"02/12/2013","4.160","4.127","4.165","4.122","0.58%"
"30/11/2013","4.136","4.139","4.141","4.127","0.22%"
"29/11/2013","4.127","4.135","4.154","4.110","-0.60%"
"28/11/2013","4.152","4.146","4.178","4.145","0.00%"
"27/11/2013","4.152","4.159","4.191","4.147","-0.31%"
"26/11/2013","4.165","4.157","4.186","4.143","0.29%"
"25/11/2013","4.153","4.114","4.167","4.112","1.10%"
"23/11/2013","4.108","4.120","4.120","4.108","-0.15%"
"22/11/2013","4.114","4.102","4.129","4.099","0.07%"
"21/11/2013","4.111","4.133","4.160","4.092","0.32%"
"20/11/2013","4.098","4.103","4.131","4.073","0.15%"
"19/11/2013","4.092","4.076","4.094","4.067","0.52%"
"18/11/2013","4.071","4.071","4.102","4.065","-0.07%"
"17/11/2013","4.074","4.074","4.074","4.074","0.00%"
"16/11/2013","4.074","4.078","4.078","4.074","-0.24%"
"15/11/2013","4.084","4.084","4.104","4.069","0.47%"
"14/11/2013","4.065","4.066","4.124","4.062","-0.93%"
"13/11/2013","4.103","4.118","4.123","4.083","-0.10%"
"12/11/2013","4.107","4.122","4.138","4.103","0.29%"
"11/11/2013","4.095","4.101","4.111","4.084","-0.78%"
"09/11/2013","4.127","4.113","4.128","4.111","0.29%"
"08/11/2013","4.115","4.105","4.139","4.061","1.23%"
"07/11/2013","4.065","4.174","4.199","3.998","-1.76%"
"06/11/2013","4.138","4.089","4.138","4.071","0.71%"
"05/11/2013","4.109","4.020","4.114","4.020","2.37%"
"04/11/2013","4.014","3.986","4.038","3.972","0.00%"
"03/11/2013","4.014","4.014","4.014","4.014","0.00%"
"02/11/2013","4.014","3.991","4.014","3.964","-0.02%"
"01/11/2013","4.015","4.018","4.039","3.995","-0.84%"
"31/10/2013","4.049","4.080","4.080","3.982","-0.25%"
"30/10/2013","4.059","4.034","4.080","4.026","0.27%"
"29/10/2013","4.048","4.088","4.089","4.042","-1.32%"
"28/10/2013","4.102","4.165","4.171","4.102","-1.35%"
"27/10/2013","4.158","4.158","4.158","4.158","0.00%"
"26/10/2013","4.158","4.175","4.175","4.158","0.07%"
"25/10/2013","4.155","4.156","4.203","4.150","0.34%"
"24/10/2013","4.141","4.108","4.188","4.107","0.15%"
"23/10/2013","4.135","4.205","4.212","4.135","-1.78%"
"22/10/2013","4.210","4.269","4.269","4.185","-1.57%"
"21/10/2013","4.277","4.257","4.285","4.252","0.35%"
"19/10/2013","4.262","4.263","4.294","4.245","-0.16%"
"18/10/2013","4.269","4.302","4.330","4.266","-0.72%"
"17/10/2013","4.300","4.291","4.319","4.281","-0.05%"
"16/10/2013","4.302","4.318","4.326","4.282","-0.28%"
"15/10/2013","4.314","4.268","4.318","4.247","1.03%"
"14/10/2013","4.270","4.306","4.312","4.259","-0.70%"
"12/10/2013","4.300","4.321","4.321","4.298","-0.12%"
"11/10/2013","4.305","4.346","4.350","4.298","-0.85%"
"10/10/2013","4.342","4.336","4.353","4.291","0.23%"
"09/10/2013","4.332","4.327","4.342","4.308","0.72%"
"08/10/2013","4.301","4.246","4.307","4.219","2.21%"
"07/10/2013","4.208","4.194","4.221","4.181","0.07%"
"06/10/2013","4.205","4.217","4.217","4.189","0.12%"
"05/10/2013","4.200","4.200","4.200","4.200","-0.43%"
"04/10/2013","4.218","4.235","4.238","4.201","-0.57%"
"03/10/2013","4.242","4.280","4.309","4.240","-0.09%"
"02/10/2013","4.246","4.155","4.265","4.155","1.34%"
"01/10/2013","4.190","4.302","4.305","4.181","-3.05%"
"30/09/2013","4.322","4.417","4.423","4.304","-1.14%"
"29/09/2013","4.372","4.372","4.372","4.372","0.00%"
"28/09/2013","4.372","4.365","4.409","4.365","0.09%"
"27/09/2013","4.368","4.369","4.408","4.335","0.62%"
"26/09/2013","4.341","4.298","4.358","4.294","1.33%"
"25/09/2013","4.284","4.273","4.310","4.259","0.33%"
"24/09/2013","4.270","4.271","4.288","4.237","-0.14%"
"23/09/2013","4.276","4.294","4.331","4.259","-0.86%"
"22/09/2013","4.313","4.313","4.313","4.313","0.00%"
"21/09/2013","4.313","4.319","4.348","4.303","0.19%"
"20/09/2013","4.305","4.318","4.362","4.295","-0.46%"
"19/09/2013","4.325","4.243","4.367","4.243","-1.70%"
"18/09/2013","4.400","4.400","4.422","4.377","-0.20%"
"17/09/2013","4.409","4.449","4.455","4.391","-0.47%"
"16/09/2013","4.430","4.490","4.496","4.425","-2.42%"
"15/09/2013","4.540","4.540","4.540","4.540","0.00%"
"14/09/2013","4.540","4.552","4.554","4.499","1.11%"
"13/09/2013","4.490","4.471","4.496","4.448","0.70%"
"12/09/2013","4.459","4.486","4.497","4.459","-0.71%"
"11/09/2013","4.491","4.499","4.535","4.478","-0.49%"
